,DATA,NOM ESTACIO,hora,NO2,SO2
4672,2022-01-01,Terrassa,21h,65.0,5.0
4673,2022-01-01,Terrassa,22h,66.0,5.0
4674,2022-01-01,Terrassa,23h,59.0,4.0
4675,2022-01-01,Terrassa,24h,38.0,3.0
4700,2023-01-01,Montcada i Reixac,01h,33.0,8.0
4701,2023-01-01,Montcada i Reixac,02h,34.0,9.0
4702,2023-01-01,Montcada i Reixac,03h,36.0,9.0
4703,2023-01-01,Montcada i Reixac,04h,36.0,8.0
4704,2023-01-01,Montcada i Reixac,05h,27.0,7.0
4705,2023-01-01,Montcada i Reixac,06h,27.0,7.0
4706,2023-01-01,Montcada i Reixac,07h,23.0,6.0
4707,2023-01-01,Montcada i Reixac,08h,20.0,6.0
4708,2023-01-01,Montcada i Reixac,09h,20.0,6.0
4709,2023-01-01,Montcada i Reixac,10h,25.0,6.0
4710,2023-01-01,Montcada i Reixac,11h,27.0,5.0
4711,2023-01-01,Montcada i Reixac,12h,33.0,6.0
4712,2023-01-01,Montcada i Reixac,13h,38.0,8.0
4713,2023-01-01,Montcada i Reixac,14h,48.0,9.0
4714,2023-01-01,Montcada i Reixac,15h,55.0,10.0
4715,2023-01-01,Montcada i Reixac,16h,44.0,11.0
4716,2023-01-01,Montcada i Reixac,17h,41.0,11.0
4717,2023-01-01,Montcada i Reixac,18h,58.0,11.0
4718,2023-01-01,Montcada i Reixac,19h,46.0,11.0
4719,2023-01-01,Montcada i Reixac,20h,47.0,1.0
4720,2023-01-01,Montcada i Reixac,21h,38.0,1.0
4721,2023-01-01,Montcada i Reixac,22h,34.0,1.0
4722,2023-01-01,Montcada i Reixac,23h,30.0,1.0
4723,2023-01-01,Montcada i Reixac,24h,26.0,1.0
4724,2023-01-01,Rubí,01h,40.0,1.0
4725,2023-01-01,Rubí,02h,33.0,1.0
4726,2023-01-01,Rubí,03h,29.0,1.0
4727,2023-01-01,Rubí,04h,25.0,1.0
4728,2023-01-01,Rubí,05h,19.0,1.0
4729,2023-01-01,Rubí,06h,21.0,1.0
4730,2023-01-01,Rubí,07h,20.0,1.0
4731,2023-01-01,Rubí,08h,19.0,1.0
4732,2023-01-01,Rubí,09h,19.0,1.0
4733,2023-01-01,Rubí,10h,17.0,1.0
4734,2023-01-01,Rubí,11h,19.0,2.0
4735,2023-01-01,Rubí,12h,19.0,2.0
4736,2023-01-01,Rubí,13h,16.0,2.0
4737,2023-01-01,Rubí,14h,13.0,2.0
4738,2023-01-01,Rubí,15h,21.0,2.0
4739,2023-01-01,Rubí,16h,26.0,1.0
4740,2023-01-01,Rubí,17h,24.0,1.0
4741,2023-01-01,Rubí,18h,32.0,1.0
4742,2023-01-01,Rubí,19h,50.0,1.0
4743,2023-01-01,Rubí,20h,48.0,1.0
4744,2023-01-01,Rubí,21h,56.0,1.0
4745,2023-01-01,Rubí,22h,47.0,2.0
4746,2023-01-01,Rubí,23h,49.0,2.0
4747,2023-01-01,Rubí,24h,42.0,2.0
4796,2023-01-01,Santa Perpètua de Mogoda,01h,30.0,1.0
4797,2023-01-01,Santa Perpètua de Mogoda,02h,37.0,1.0
4798,2023-01-01,Santa Perpètua de Mogoda,03h,34.0,1.0
4799,2023-01-01,Santa Perpètua de Mogoda,04h,32.0,1.0
4800,2023-01-01,Santa Perpètua de Mogoda,05h,29.0,1.0
4801,2023-01-01,Santa Perpètua de Mogoda,06h,28.0,1.0
4802,2023-01-01,Santa Perpètua de Mogoda,07h,27.0,1.0
4803,2023-01-01,Santa Perpètua de Mogoda,08h,25.0,1.0
4804,2023-01-01,Santa Perpètua de Mogoda,09h,22.0,1.0
4805,2023-01-01,Santa Perpètua de Mogoda,10h,21.0,1.0
4806,2023-01-01,Santa Perpètua de Mogoda,11h,22.0,1.0
4807,2023-01-01,Santa Perpètua de Mogoda,12h,24.0,1.0
4808,2023-01-01,Santa Perpètua de Mogoda,13h,32.0,2.0
4809,2023-01-01,Santa Perpètua de Mogoda,14h,32.0,1.0
4810,2023-01-01,Santa Perpètua de Mogoda,15h,35.0,1.0
4811,2023-01-01,Santa Perpètua de Mogoda,16h,39.0,2.0
4812,2023-01-01,Santa Perpètua de Mogoda,17h,42.0,1.0
4813,2023-01-01,Santa Perpètua de Mogoda,18h,66.0,1.0
4814,2023-01-01,Santa Perpètua de Mogoda,19h,60.0,1.0
4815,2023-01-01,Santa Perpètua de Mogoda,20h,44.0,1.0
4816,2023-01-01,Santa Perpètua de Mogoda,21h,41.0,1.0
4817,2023-01-01,Santa Perpètua de Mogoda,22h,33.0,1.0
4818,2023-01-01,Santa Perpètua de Mogoda,23h,34.0,1.0
4819,2023-01-01,Santa Perpètua de Mogoda,24h,28.0,1.0
4820,2023-01-01,Terrassa,01h,41.0,1.0
4821,2023-01-01,Terrassa,02h,43.0,1.0
4822,2023-01-01,Terrassa,03h,34.0,1.0
4823,2023-01-01,Terrassa,04h,27.0,1.0
4824,2023-01-01,Terrassa,05h,31.0,1.0
4825,2023-01-01,Terrassa,06h,23.0,1.0
4826,2023-01-01,Terrassa,07h,23.0,1.0
4827,2023-01-01,Terrassa,08h,44.0,1.0
4828,2023-01-01,Terrassa,09h,36.0,1.0
4829,2023-01-01,Terrassa,10h,29.0,1.0
4830,2023-01-01,Terrassa,11h,40.0,1.0
