,DATA,NOM ESTACIO,hora,NO2,SO2
30178,2023-01-06,Santa Perpètua de Mogoda,14h,10.0,1.0
30179,2023-01-06,Santa Perpètua de Mogoda,15h,7.0,2.0
30180,2023-01-06,Santa Perpètua de Mogoda,16h,10.0,2.0
30181,2023-01-06,Santa Perpètua de Mogoda,17h,11.0,2.0
30182,2023-01-06,Santa Perpètua de Mogoda,18h,12.0,2.0
30183,2023-01-06,Santa Perpètua de Mogoda,19h,11.0,2.0
30184,2023-01-06,Santa Perpètua de Mogoda,20h,8.0,2.0
30185,2023-01-06,Santa Perpètua de Mogoda,21h,9.0,2.0
30186,2023-01-06,Santa Perpètua de Mogoda,22h,18.0,2.0
30187,2023-01-06,Santa Perpètua de Mogoda,23h,14.0,2.0
30188,2023-01-06,Santa Perpètua de Mogoda,24h,14.0,2.0
30189,2023-01-06,Terrassa,01h,23.0,1.0
30190,2023-01-06,Terrassa,02h,21.0,1.0
30191,2023-01-06,Terrassa,03h,13.0,1.0
30192,2023-01-06,Terrassa,04h,12.0,1.0
30193,2023-01-06,Terrassa,05h,13.0,2.0
30194,2023-01-06,Terrassa,06h,13.0,1.0
30195,2023-01-06,Terrassa,07h,21.0,1.0
30196,2023-01-06,Terrassa,08h,24.0,2.0
30197,2023-01-06,Terrassa,09h,42.0,2.0
30198,2023-01-06,Terrassa,10h,53.0,2.0
30199,2023-01-06,Terrassa,11h,36.0,2.0
30200,2023-01-06,Terrassa,12h,26.0,1.0
30201,2023-01-06,Terrassa,13h,27.0,1.0
30202,2023-01-06,Terrassa,14h,38.0,2.0
30203,2023-01-06,Terrassa,15h,34.0,1.0
30204,2023-01-06,Terrassa,16h,38.0,1.0
30205,2023-01-06,Terrassa,17h,42.0,2.0
30206,2023-01-06,Terrassa,18h,38.0,2.0
30207,2023-01-06,Terrassa,19h,40.0,2.0
30208,2023-01-06,Terrassa,20h,34.0,1.0
30209,2023-01-06,Terrassa,21h,45.0,1.0
30210,2023-01-06,Terrassa,22h,56.0,1.0
30211,2023-01-06,Terrassa,23h,45.0,1.0
30212,2023-01-06,Terrassa,24h,34.0,1.0
30237,2024-01-06,Montcada i Reixac,01h,15.0,3.0
30238,2024-01-06,Montcada i Reixac,02h,13.0,3.0
30239,2024-01-06,Montcada i Reixac,03h,13.0,4.0
30240,2024-01-06,Montcada i Reixac,04h,12.0,3.0
30241,2024-01-06,Montcada i Reixac,05h,14.0,3.0
30242,2024-01-06,Montcada i Reixac,06h,15.0,4.0
30243,2024-01-06,Montcada i Reixac,07h,22.0,4.0
30244,2024-01-06,Montcada i Reixac,08h,18.0,4.0
30245,2024-01-06,Montcada i Reixac,09h,15.0,4.0
30246,2024-01-06,Montcada i Reixac,10h,15.0,2.0
30247,2024-01-06,Montcada i Reixac,11h,14.0,3.0
30248,2024-01-06,Montcada i Reixac,12h,14.0,3.0
30249,2024-01-06,Montcada i Reixac,13h,13.0,3.0
30250,2024-01-06,Montcada i Reixac,14h,16.0,3.0
30251,2024-01-06,Montcada i Reixac,15h,20.0,5.0
30252,2024-01-06,Montcada i Reixac,16h,20.0,10.0
30253,2024-01-06,Montcada i Reixac,17h,15.0,10.0
30254,2024-01-06,Montcada i Reixac,18h,12.0,10.0
30255,2024-01-06,Montcada i Reixac,19h,20.0,7.0
30256,2024-01-06,Montcada i Reixac,20h,13.0,5.0
30257,2024-01-06,Montcada i Reixac,21h,14.0,2.0
30258,2024-01-06,Montcada i Reixac,22h,21.0,3.0
30259,2024-01-06,Montcada i Reixac,23h,17.0,1.0
30260,2024-01-06,Montcada i Reixac,24h,16.0,1.0
30261,2024-01-06,Rubí,01h,7.0,1.0
30262,2024-01-06,Rubí,02h,7.0,1.0
30263,2024-01-06,Rubí,03h,7.0,1.0
30264,2024-01-06,Rubí,04h,8.0,1.0
30265,2024-01-06,Rubí,05h,9.0,1.0
30266,2024-01-06,Rubí,06h,19.0,1.0
30267,2024-01-06,Rubí,07h,8.0,1.0
30268,2024-01-06,Rubí,08h,9.0,1.0
30269,2024-01-06,Rubí,09h,5.0,1.0
30270,2024-01-06,Rubí,10h,5.0,1.0
30271,2024-01-06,Rubí,11h,4.0,1.0
30272,2024-01-06,Rubí,12h,6.0,1.0
30273,2024-01-06,Rubí,13h,5.0,1.0
30274,2024-01-06,Rubí,14h,10.0,1.0
30275,2024-01-06,Rubí,15h,5.0,1.0
30276,2024-01-06,Rubí,16h,3.0,1.0
30277,2024-01-06,Rubí,17h,4.0,1.0
30278,2024-01-06,Rubí,18h,3.0,1.0
30279,2024-01-06,Rubí,19h,4.0,1.0
30280,2024-01-06,Rubí,20h,6.0,1.0
30281,2024-01-06,Rubí,21h,7.0,1.0
30282,2024-01-06,Rubí,22h,7.0,1.0
30283,2024-01-06,Rubí,23h,6.0,1.0
30284,2024-01-06,Rubí,24h,6.0,1.0
30333,2024-01-06,Santa Perpètua de Mogoda,01h,13.0,1.0
30334,2024-01-06,Santa Perpètua de Mogoda,02h,13.0,1.0
30335,2024-01-06,Santa Perpètua de Mogoda,03h,15.0,1.0
30336,2024-01-06,Santa Perpètua de Mogoda,04h,16.0,1.0
30337,2024-01-06,Santa Perpètua de Mogoda,05h,16.0,1.0
30338,2024-01-06,Santa Perpètua de Mogoda,06h,16.0,1.0
30339,2024-01-06,Santa Perpètua de Mogoda,07h,21.0,1.0
30340,2024-01-06,Santa Perpètua de Mogoda,08h,17.0,1.0
30341,2024-01-06,Santa Perpètua de Mogoda,09h,11.0,1.0
30342,2024-01-06,Santa Perpètua de Mogoda,10h,9.0,1.0
30343,2024-01-06,Santa Perpètua de Mogoda,11h,11.0,1.0
30344,2024-01-06,Santa Perpètua de Mogoda,12h,10.0,1.0
30345,2024-01-06,Santa Perpètua de Mogoda,13h,7.0,1.0
30346,2024-01-06,Santa Perpètua de Mogoda,14h,5.0,1.0
30347,2024-01-06,Santa Perpètua de Mogoda,15h,8.0,1.0
30348,2024-01-06,Santa Perpètua de Mogoda,16h,14.0,1.0
30349,2024-01-06,Santa Perpètua de Mogoda,17h,14.0,1.0
30350,2024-01-06,Santa Perpètua de Mogoda,18h,11.0,1.0
30351,2024-01-06,Santa Perpètua de Mogoda,19h,10.0,1.0
30352,2024-01-06,Santa Perpètua de Mogoda,20h,9.0,1.0
30353,2024-01-06,Santa Perpètua de Mogoda,21h,16.0,1.0
30354,2024-01-06,Santa Perpètua de Mogoda,22h,17.0,1.0
30355,2024-01-06,Santa Perpètua de Mogoda,23h,14.0,1.0
30356,2024-01-06,Santa Perpètua de Mogoda,24h,14.0,1.0
30357,2024-01-06,Terrassa,01h,17.0,1.0
30358,2024-01-06,Terrassa,02h,18.0,1.0
30359,2024-01-06,Terrassa,03h,19.0,1.0
30360,2024-01-06,Terrassa,04h,15.0,1.0
30361,2024-01-06,Terrassa,05h,15.0,1.0
30362,2024-01-06,Terrassa,06h,11.0,2.0
30363,2024-01-06,Terrassa,07h,7.0,2.0
30364,2024-01-06,Terrassa,08h,10.0,2.0
30365,2024-01-06,Terrassa,09h,13.0,3.0
30366,2024-01-06,Terrassa,10h,13.0,2.0
30367,2024-01-06,Terrassa,11h,18.0,2.0
30368,2024-01-06,Terrassa,12h,20.0,1.0
30369,2024-01-06,Terrassa,13h,19.0,1.0
30370,2024-01-06,Terrassa,14h,19.0,1.0
30371,2024-01-06,Terrassa,15h,22.0,1.0
30372,2024-01-06,Terrassa,16h,15.0,2.0
30373,2024-01-06,Terrassa,17h,18.0,2.0
30374,2024-01-06,Terrassa,18h,18.0,2.0
30375,2024-01-06,Terrassa,19h,21.0,3.0
30376,2024-01-06,Terrassa,20h,16.0,1.0
30377,2024-01-06,Terrassa,21h,21.0,1.0
30378,2024-01-06,Terrassa,22h,24.0,2.0
30379,2024-01-06,Terrassa,23h,22.0,2.0
30380,2024-01-06,Terrassa,24h,24.0,3.0
34818,2022-01-07,Montcada i Reixac,01h,11.0,1.0
34819,2022-01-07,Montcada i Reixac,02h,7.0,1.0
34820,2022-01-07,Montcada i Reixac,03h,13.0,1.0
34821,2022-01-07,Montcada i Reixac,04h,13.0,1.0
34822,2022-01-07,Montcada i Reixac,05h,14.0,1.0
34823,2022-01-07,Montcada i Reixac,06h,31.0,1.0
34824,2022-01-07,Montcada i Reixac,07h,34.0,1.0
34825,2022-01-07,Montcada i Reixac,08h,43.0,1.0
34826,2022-01-07,Montcada i Reixac,09h,22.0,1.0
34827,2022-01-07,Montcada i Reixac,10h,21.0,1.0
34828,2022-01-07,Montcada i Reixac,11h,21.0,1.0
34829,2022-01-07,Montcada i Reixac,12h,23.0,1.0
34830,2022-01-07,Montcada i Reixac,13h,16.0,1.0
34831,2022-01-07,Montcada i Reixac,14h,18.0,1.0
34832,2022-01-07,Montcada i Reixac,15h,20.0,1.0
34833,2022-01-07,Montcada i Reixac,16h,13.0,1.0
34834,2022-01-07,Montcada i Reixac,17h,12.0,1.0
34835,2022-01-07,Montcada i Reixac,18h,11.0,1.0
34836,2022-01-07,Montcada i Reixac,19h,8.0,1.0
34837,2022-01-07,Montcada i Reixac,20h,15.0,1.0
34838,2022-01-07,Montcada i Reixac,21h,20.0,1.0
34839,2022-01-07,Montcada i Reixac,22h,20.0,1.0
34840,2022-01-07,Montcada i Reixac,23h,19.0,1.0
34841,2022-01-07,Montcada i Reixac,24h,11.0,1.0
34842,2022-01-07,Rubí,01h,7.0,1.0
34843,2022-01-07,Rubí,02h,9.0,2.0
34844,2022-01-07,Rubí,03h,9.0,2.0
34845,2022-01-07,Rubí,04h,10.0,2.0
34846,2022-01-07,Rubí,05h,11.0,2.0
34847,2022-01-07,Rubí,06h,11.0,2.0
34848,2022-01-07,Rubí,07h,6.0,2.0
34849,2022-01-07,Rubí,08h,7.0,2.0
34850,2022-01-07,Rubí,09h,5.0,2.0
34851,2022-01-07,Rubí,10h,4.0,2.0
34852,2022-01-07,Rubí,11h,4.0,2.0
34853,2022-01-07,Rubí,12h,9.0,2.0
34854,2022-01-07,Rubí,13h,13.0,2.0
34855,2022-01-07,Rubí,14h,9.0,2.0
34856,2022-01-07,Rubí,15h,6.0,2.0
34857,2022-01-07,Rubí,16h,5.0,2.0
34858,2022-01-07,Rubí,17h,4.0,2.0
34859,2022-01-07,Rubí,18h,6.0,2.0
34860,2022-01-07,Rubí,19h,7.0,1.0
34861,2022-01-07,Rubí,20h,9.0,1.0
34862,2022-01-07,Rubí,21h,15.0,1.0
34863,2022-01-07,Rubí,22h,27.0,1.0
34864,2022-01-07,Rubí,23h,23.0,1.0
34865,2022-01-07,Rubí,24h,22.0,1.0
34914,2022-01-07,Santa Perpètua de Mogoda,01h,6.0,1.0
34915,2022-01-07,Santa Perpètua de Mogoda,02h,5.0,1.0
34916,2022-01-07,Santa Perpètua de Mogoda,03h,9.0,1.0
34917,2022-01-07,Santa Perpètua de Mogoda,04h,12.0,1.0
34918,2022-01-07,Santa Perpètua de Mogoda,05h,15.0,1.0
34919,2022-01-07,Santa Perpètua de Mogoda,06h,19.0,1.0
34920,2022-01-07,Santa Perpètua de Mogoda,07h,44.0,1.0
34921,2022-01-07,Santa Perpètua de Mogoda,08h,30.0,1.0
34922,2022-01-07,Santa Perpètua de Mogoda,09h,30.0,1.0
34923,2022-01-07,Santa Perpètua de Mogoda,10h,20.0,1.0
34924,2022-01-07,Santa Perpètua de Mogoda,11h,14.0,1.0
34925,2022-01-07,Santa Perpètua de Mogoda,12h,12.0,1.0
34926,2022-01-07,Santa Perpètua de Mogoda,13h,13.0,1.0
34927,2022-01-07,Santa Perpètua de Mogoda,14h,13.0,2.0
34928,2022-01-07,Santa Perpètua de Mogoda,15h,9.0,2.0
34929,2022-01-07,Santa Perpètua de Mogoda,16h,6.0,2.0
34930,2022-01-07,Santa Perpètua de Mogoda,17h,6.0,2.0
34931,2022-01-07,Santa Perpètua de Mogoda,18h,7.0,2.0
34932,2022-01-07,Santa Perpètua de Mogoda,19h,6.0,2.0
34933,2022-01-07,Santa Perpètua de Mogoda,20h,8.0,2.0
34934,2022-01-07,Santa Perpètua de Mogoda,21h,9.0,2.0
34935,2022-01-07,Santa Perpètua de Mogoda,22h,12.0,1.0
34936,2022-01-07,Santa Perpètua de Mogoda,23h,13.0,1.0
34937,2022-01-07,Santa Perpètua de Mogoda,24h,15.0,1.0
34938,2022-01-07,Terrassa,01h,22.0,1.0
34939,2022-01-07,Terrassa,02h,16.0,1.0
34940,2022-01-07,Terrassa,03h,19.0,1.0
34941,2022-01-07,Terrassa,04h,9.0,1.0
34942,2022-01-07,Terrassa,05h,12.0,1.0
34943,2022-01-07,Terrassa,06h,11.0,1.0
34944,2022-01-07,Terrassa,07h,14.0,1.0
34945,2022-01-07,Terrassa,08h,26.0,1.0
34946,2022-01-07,Terrassa,09h,24.0,1.0
34947,2022-01-07,Terrassa,10h,23.0,1.0
34948,2022-01-07,Terrassa,11h,18.0,1.0
34949,2022-01-07,Terrassa,12h,19.0,1.0
34950,2022-01-07,Terrassa,13h,23.0,1.0
34951,2022-01-07,Terrassa,14h,30.0,1.0
34952,2022-01-07,Terrassa,15h,31.0,1.0
34953,2022-01-07,Terrassa,16h,29.0,1.0
34954,2022-01-07,Terrassa,17h,29.0,1.0
34955,2022-01-07,Terrassa,18h,29.0,2.0
34956,2022-01-07,Terrassa,19h,35.0,1.0
34957,2022-01-07,Terrassa,20h,33.0,1.0
34958,2022-01-07,Terrassa,21h,34.0,1.0
34959,2022-01-07,Terrassa,22h,34.0,1.0
34960,2022-01-07,Terrassa,23h,36.0,1.0
34961,2022-01-07,Terrassa,24h,40.0,1.0
34986,2023-01-07,Montcada i Reixac,01h,12.0,1.0
34987,2023-01-07,Montcada i Reixac,02h,12.0,1.0
34988,2023-01-07,Montcada i Reixac,03h,7.0,1.0
34989,2023-01-07,Montcada i Reixac,04h,13.0,1.0
34990,2023-01-07,Montcada i Reixac,05h,10.0,1.0
34991,2023-01-07,Montcada i Reixac,06h,14.0,1.0
34992,2023-01-07,Montcada i Reixac,07h,24.0,1.0
34993,2023-01-07,Montcada i Reixac,08h,22.0,1.0
34994,2023-01-07,Montcada i Reixac,09h,20.0,1.0
34995,2023-01-07,Montcada i Reixac,10h,16.0,1.0
34996,2023-01-07,Montcada i Reixac,11h,14.0,1.0
34997,2023-01-07,Montcada i Reixac,12h,10.0,1.0
34998,2023-01-07,Montcada i Reixac,13h,11.0,1.0
34999,2023-01-07,Montcada i Reixac,14h,22.0,1.0
35000,2023-01-07,Montcada i Reixac,15h,27.0,1.0
35001,2023-01-07,Montcada i Reixac,16h,29.0,1.0
35002,2023-01-07,Montcada i Reixac,17h,25.0,1.0
35003,2023-01-07,Montcada i Reixac,18h,33.0,1.0
35004,2023-01-07,Montcada i Reixac,19h,27.0,1.0
35005,2023-01-07,Montcada i Reixac,20h,20.0,1.0
35006,2023-01-07,Montcada i Reixac,21h,23.0,1.0
35007,2023-01-07,Montcada i Reixac,22h,31.0,1.0
35008,2023-01-07,Montcada i Reixac,23h,41.0,1.0
35009,2023-01-07,Montcada i Reixac,24h,41.0,1.0
35010,2023-01-07,Rubí,01h,6.0,1.0
35011,2023-01-07,Rubí,02h,14.0,1.0
35012,2023-01-07,Rubí,03h,13.0,1.0
35013,2023-01-07,Rubí,04h,11.0,1.0
35014,2023-01-07,Rubí,05h,13.0,1.0
35015,2023-01-07,Rubí,06h,17.0,1.0
35016,2023-01-07,Rubí,07h,12.0,1.0
35017,2023-01-07,Rubí,08h,9.0,1.0
35018,2023-01-07,Rubí,09h,4.0,1.0
35019,2023-01-07,Rubí,10h,2.0,1.0
35020,2023-01-07,Rubí,11h,2.0,1.0
35021,2023-01-07,Rubí,12h,2.0,2.0
35022,2023-01-07,Rubí,13h,3.0,2.0
35023,2023-01-07,Rubí,14h,3.0,2.0
35024,2023-01-07,Rubí,15h,4.0,2.0
35025,2023-01-07,Rubí,16h,6.0,2.0
35026,2023-01-07,Rubí,17h,5.0,2.0
35027,2023-01-07,Rubí,18h,4.0,3.0
35028,2023-01-07,Rubí,19h,6.0,3.0
35029,2023-01-07,Rubí,20h,6.0,2.0
35030,2023-01-07,Rubí,21h,9.0,2.0
35031,2023-01-07,Rubí,22h,7.0,2.0
35032,2023-01-07,Rubí,23h,8.0,2.0
35033,2023-01-07,Rubí,24h,9.0,2.0
35082,2023-01-07,Santa Perpètua de Mogoda,01h,10.0,4.0
35083,2023-01-07,Santa Perpètua de Mogoda,02h,23.0,3.0
35084,2023-01-07,Santa Perpètua de Mogoda,03h,9.0,3.0
35085,2023-01-07,Santa Perpètua de Mogoda,04h,9.0,3.0
35086,2023-01-07,Santa Perpètua de Mogoda,05h,7.0,1.0
35087,2023-01-07,Santa Perpètua de Mogoda,06h,17.0,1.0
35088,2023-01-07,Santa Perpètua de Mogoda,07h,15.0,1.0
35089,2023-01-07,Santa Perpètua de Mogoda,08h,16.0,2.0
35090,2023-01-07,Santa Perpètua de Mogoda,09h,11.0,2.0
35091,2023-01-07,Santa Perpètua de Mogoda,10h,9.0,2.0
35092,2023-01-07,Santa Perpètua de Mogoda,11h,7.0,2.0
35093,2023-01-07,Santa Perpètua de Mogoda,12h,7.0,3.0
35094,2023-01-07,Santa Perpètua de Mogoda,13h,5.0,3.0
35095,2023-01-07,Santa Perpètua de Mogoda,14h,11.0,3.0
35096,2023-01-07,Santa Perpètua de Mogoda,15h,11.0,3.0
35097,2023-01-07,Santa Perpètua de Mogoda,16h,12.0,3.0
35098,2023-01-07,Santa Perpètua de Mogoda,17h,13.0,3.0
35099,2023-01-07,Santa Perpètua de Mogoda,18h,17.0,3.0
35100,2023-01-07,Santa Perpètua de Mogoda,19h,17.0,4.0
35101,2023-01-07,Santa Perpètua de Mogoda,20h,15.0,3.0
35102,2023-01-07,Santa Perpètua de Mogoda,21h,14.0,2.0
35103,2023-01-07,Santa Perpètua de Mogoda,22h,21.0,2.0
35104,2023-01-07,Santa Perpètua de Mogoda,23h,30.0,2.0
35105,2023-01-07,Santa Perpètua de Mogoda,24h,32.0,2.0
35106,2023-01-07,Terrassa,01h,34.0,1.0
35107,2023-01-07,Terrassa,02h,26.0,1.0
35108,2023-01-07,Terrassa,03h,15.0,1.0
35109,2023-01-07,Terrassa,04h,15.0,1.0
35110,2023-01-07,Terrassa,05h,15.0,1.0
35111,2023-01-07,Terrassa,06h,15.0,1.0
35112,2023-01-07,Terrassa,07h,14.0,1.0
35113,2023-01-07,Terrassa,08h,14.0,1.0
35114,2023-01-07,Terrassa,09h,11.0,1.0
35115,2023-01-07,Terrassa,10h,13.0,1.0
35116,2023-01-07,Terrassa,11h,12.0,1.0
35117,2023-01-07,Terrassa,12h,12.0,1.0
35118,2023-01-07,Terrassa,13h,13.0,1.0
35119,2023-01-07,Terrassa,14h,11.0,1.0
35120,2023-01-07,Terrassa,15h,11.0,1.0
35121,2023-01-07,Terrassa,16h,9.0,1.0
35122,2023-01-07,Terrassa,17h,20.0,1.0
35123,2023-01-07,Terrassa,18h,27.0,2.0
35124,2023-01-07,Terrassa,19h,31.0,2.0
35125,2023-01-07,Terrassa,20h,34.0,2.0
35126,2023-01-07,Terrassa,21h,29.0,2.0
35127,2023-01-07,Terrassa,22h,29.0,1.0
35128,2023-01-07,Terrassa,23h,25.0,1.0
35129,2023-01-07,Terrassa,24h,23.0,1.0
35154,2024-01-07,Montcada i Reixac,01h,6.0,1.0
35155,2024-01-07,Montcada i Reixac,02h,6.0,1.0
35156,2024-01-07,Montcada i Reixac,03h,11.0,1.0
35157,2024-01-07,Montcada i Reixac,04h,7.0,1.0
35158,2024-01-07,Montcada i Reixac,05h,10.0,1.0
35159,2024-01-07,Montcada i Reixac,06h,23.0,1.0
35160,2024-01-07,Montcada i Reixac,07h,39.0,1.0
35161,2024-01-07,Montcada i Reixac,08h,55.0,1.0
35162,2024-01-07,Montcada i Reixac,09h,57.0,1.0
35163,2024-01-07,Montcada i Reixac,10h,48.0,1.0
35164,2024-01-07,Montcada i Reixac,11h,31.0,1.0
35165,2024-01-07,Montcada i Reixac,12h,34.0,1.0
35166,2024-01-07,Montcada i Reixac,13h,36.0,3.0
35167,2024-01-07,Montcada i Reixac,14h,34.0,1.0
35168,2024-01-07,Montcada i Reixac,15h,36.0,2.0
35169,2024-01-07,Montcada i Reixac,16h,29.0,4.0
35170,2024-01-07,Montcada i Reixac,17h,24.0,6.0
35171,2024-01-07,Montcada i Reixac,18h,16.0,6.0
35172,2024-01-07,Montcada i Reixac,19h,14.0,5.0
35173,2024-01-07,Montcada i Reixac,20h,26.0,5.0
35174,2024-01-07,Montcada i Reixac,21h,30.0,4.0
35175,2024-01-07,Montcada i Reixac,22h,30.0,1.0
35176,2024-01-07,Montcada i Reixac,23h,27.0,1.0
35177,2024-01-07,Montcada i Reixac,24h,31.0,1.0
35178,2024-01-07,Rubí,01h,7.0,1.0
35179,2024-01-07,Rubí,02h,7.0,1.0
35180,2024-01-07,Rubí,03h,6.0,1.0
35181,2024-01-07,Rubí,04h,4.0,1.0
35182,2024-01-07,Rubí,05h,8.0,1.0
35183,2024-01-07,Rubí,06h,11.0,1.0
35184,2024-01-07,Rubí,07h,13.0,1.0
35185,2024-01-07,Rubí,08h,20.0,1.0
35186,2024-01-07,Rubí,09h,29.0,1.0
35187,2024-01-07,Rubí,10h,15.0,1.0
35188,2024-01-07,Rubí,11h,13.0,1.0
35189,2024-01-07,Rubí,12h,18.0,2.0
35190,2024-01-07,Rubí,13h,26.0,1.0
35191,2024-01-07,Rubí,14h,23.0,1.0
35192,2024-01-07,Rubí,15h,8.0,1.0
35193,2024-01-07,Rubí,16h,10.0,1.0
35194,2024-01-07,Rubí,17h,9.0,1.0
35195,2024-01-07,Rubí,18h,6.0,1.0
35196,2024-01-07,Rubí,19h,4.0,1.0
35197,2024-01-07,Rubí,20h,8.0,1.0
35198,2024-01-07,Rubí,21h,18.0,1.0
35199,2024-01-07,Rubí,22h,16.0,1.0
35200,2024-01-07,Rubí,23h,22.0,1.0
35201,2024-01-07,Rubí,24h,16.0,1.0
35250,2024-01-07,Santa Perpètua de Mogoda,01h,7.0,1.0
35251,2024-01-07,Santa Perpètua de Mogoda,02h,13.0,1.0
35252,2024-01-07,Santa Perpètua de Mogoda,03h,11.0,1.0
35253,2024-01-07,Santa Perpètua de Mogoda,04h,12.0,1.0
35254,2024-01-07,Santa Perpètua de Mogoda,05h,18.0,1.0
35255,2024-01-07,Santa Perpètua de Mogoda,06h,30.0,1.0
35256,2024-01-07,Santa Perpètua de Mogoda,07h,31.0,1.0
35257,2024-01-07,Santa Perpètua de Mogoda,08h,58.0,1.0
35258,2024-01-07,Santa Perpètua de Mogoda,09h,52.0,1.0
35259,2024-01-07,Santa Perpètua de Mogoda,10h,57.0,1.0
35260,2024-01-07,Santa Perpètua de Mogoda,11h,52.0,2.0
35261,2024-01-07,Santa Perpètua de Mogoda,12h,37.0,2.0
35262,2024-01-07,Santa Perpètua de Mogoda,13h,43.0,2.0
35263,2024-01-07,Santa Perpètua de Mogoda,14h,40.0,2.0
35264,2024-01-07,Santa Perpètua de Mogoda,15h,14.0,2.0
35265,2024-01-07,Santa Perpètua de Mogoda,16h,17.0,2.0
35266,2024-01-07,Santa Perpètua de Mogoda,17h,18.0,2.0
35267,2024-01-07,Santa Perpètua de Mogoda,18h,13.0,2.0
35268,2024-01-07,Santa Perpètua de Mogoda,19h,11.0,2.0
35269,2024-01-07,Santa Perpètua de Mogoda,20h,13.0,2.0
35270,2024-01-07,Santa Perpètua de Mogoda,21h,29.0,2.0
35271,2024-01-07,Santa Perpètua de Mogoda,22h,24.0,2.0
35272,2024-01-07,Santa Perpètua de Mogoda,23h,27.0,1.0
35273,2024-01-07,Santa Perpètua de Mogoda,24h,31.0,2.0
35274,2024-01-07,Terrassa,01h,25.0,2.0
35275,2024-01-07,Terrassa,02h,19.0,2.0
35276,2024-01-07,Terrassa,03h,9.0,2.0
35277,2024-01-07,Terrassa,04h,7.0,2.0
35278,2024-01-07,Terrassa,05h,9.0,1.0
35279,2024-01-07,Terrassa,06h,13.0,1.0
35280,2024-01-07,Terrassa,07h,19.0,1.0
35281,2024-01-07,Terrassa,08h,21.0,1.0
35282,2024-01-07,Terrassa,09h,23.0,1.0
35283,2024-01-07,Terrassa,10h,29.0,1.0
35284,2024-01-07,Terrassa,11h,26.0,1.0
35285,2024-01-07,Terrassa,12h,38.0,1.0
35286,2024-01-07,Terrassa,13h,37.0,1.0
35287,2024-01-07,Terrassa,14h,22.0,1.0
35288,2024-01-07,Terrassa,15h,14.0,1.0
35289,2024-01-07,Terrassa,16h,12.0,1.0
35290,2024-01-07,Terrassa,17h,19.0,1.0
35291,2024-01-07,Terrassa,18h,15.0,1.0
35292,2024-01-07,Terrassa,19h,16.0,1.0
35293,2024-01-07,Terrassa,20h,20.0,1.0
35294,2024-01-07,Terrassa,21h,26.0,1.0
35295,2024-01-07,Terrassa,22h,29.0,1.0
35296,2024-01-07,Terrassa,23h,20.0,1.0
35297,2024-01-07,Terrassa,24h,19.0,1.0
39904,2022-01-08,Montcada i Reixac,01h,24.0,1.0
39905,2022-01-08,Montcada i Reixac,02h,29.0,1.0
39906,2022-01-08,Montcada i Reixac,03h,27.0,1.0
39907,2022-01-08,Montcada i Reixac,04h,27.0,1.0
39908,2022-01-08,Montcada i Reixac,05h,24.0,1.0
39909,2022-01-08,Montcada i Reixac,06h,33.0,1.0
39910,2022-01-08,Montcada i Reixac,07h,39.0,1.0
39911,2022-01-08,Montcada i Reixac,08h,44.0,1.0
39912,2022-01-08,Montcada i Reixac,09h,46.0,1.0
39913,2022-01-08,Montcada i Reixac,10h,58.0,1.0
39915,2022-01-08,Montcada i Reixac,14h,22.0,1.0
39916,2022-01-08,Montcada i Reixac,15h,13.0,1.0
39917,2022-01-08,Montcada i Reixac,16h,26.0,1.0
39918,2022-01-08,Montcada i Reixac,17h,20.0,1.0
39919,2022-01-08,Montcada i Reixac,18h,28.0,1.0
39920,2022-01-08,Montcada i Reixac,19h,18.0,1.0
39921,2022-01-08,Montcada i Reixac,20h,22.0,1.0
39922,2022-01-08,Montcada i Reixac,21h,18.0,1.0
39923,2022-01-08,Montcada i Reixac,22h,37.0,1.0
39924,2022-01-08,Montcada i Reixac,23h,26.0,1.0
39925,2022-01-08,Montcada i Reixac,24h,18.0,1.0
39926,2022-01-08,Rubí,01h,19.0,3.0
39927,2022-01-08,Rubí,02h,15.0,3.0
39928,2022-01-08,Rubí,03h,9.0,3.0
39929,2022-01-08,Rubí,04h,13.0,3.0
39930,2022-01-08,Rubí,05h,11.0,3.0
39931,2022-01-08,Rubí,06h,9.0,3.0
39932,2022-01-08,Rubí,07h,16.0,3.0
39933,2022-01-08,Rubí,08h,20.0,3.0
39934,2022-01-08,Rubí,09h,16.0,3.0
39935,2022-01-08,Rubí,10h,18.0,3.0
39936,2022-01-08,Rubí,11h,17.0,3.0
39937,2022-01-08,Rubí,12h,9.0,3.0
39938,2022-01-08,Rubí,13h,9.0,3.0
39939,2022-01-08,Rubí,14h,7.0,3.0
39940,2022-01-08,Rubí,15h,6.0,3.0
39941,2022-01-08,Rubí,16h,7.0,2.0
39942,2022-01-08,Rubí,17h,6.0,1.0
39943,2022-01-08,Rubí,18h,6.0,1.0
39944,2022-01-08,Rubí,19h,7.0,1.0
39945,2022-01-08,Rubí,20h,8.0,1.0
39946,2022-01-08,Rubí,21h,9.0,1.0
39947,2022-01-08,Rubí,22h,14.0,1.0
39948,2022-01-08,Rubí,23h,11.0,1.0
39949,2022-01-08,Rubí,24h,7.0,1.0
39998,2022-01-08,Santa Perpètua de Mogoda,01h,34.0,2.0
39999,2022-01-08,Santa Perpètua de Mogoda,02h,23.0,2.0
40000,2022-01-08,Santa Perpètua de Mogoda,03h,19.0,2.0
