Codi Municipi Ine,Nom_municipi,Comarca,Any,Densitat població,Densitat població urbana,Evolució població,Sòl urbà ordenat / habitant,Sòl urbà ordenat d’activitat econòmica / habitant,Sòl urbà ordenat residencial / habitant,Zona verda urbana / habitant,Sistema equipaments urbans / habitant,Tipologia teixits urbans residencials,Regeneració urbana,Ocupació mitjana habitatges,% sòl artificialitzat,% sòl residencial o d’activitat econòmica en sòl urbanitzable delimitat,Ús dominant sòl urbanitzable delimitat,% sòl residencial o d’activitat econòmica en sòl urbà no ordenat,Ús dominant sòl urbà no ordenat,Densitat habitatges sòl urbanitzable,Potencial habitatges sectors ja urbanitzats,Potencial habitatges previstos sòl urbà no ordenat,Potencial habitatges previstos sòl urbanitzable delimitat,Increment habitatges sòl urbà no ordenat/ existents,Increment habitatges sòl urbanitzable delimitat/ existents,Increment habitatges sòl urbà no ordenat/ 100 habitants,Increment habitatges sòl urbanitzable delimitat/ 100 hab,Potencial sostre sòl urbanitzable delimitat,Potencial sostre sòl urbà no ordenat,Potencial sostre sectors ja urbanitzats,Creixement urbà,Nous habitatges per any,Densitat habitatges sòl urbà no ordenat,Potencial de creixement urbà,Edificacions espais oberts,Sol·licituds en sòl no urbanitzable aprovades,Sol·licituds en sòl no urbanitzable denegades,Antiguitat figures planejament municipal,Figura planejament municipal,Noves figures planejament general per any,Expedients planejament derivat per any,Autoritzacions en domini públic anuals,Densitat xarxa viària / km2,Densitat xarxa viària /  habitant,Densitat xarxa ferroviària / km2,Densitat xarxa ferroviària / habitant
25059,Bossòst,Val d'Aran,2018,39.40795442,42.5434421,-0.8928571429,235.0538534,0,116.4204508,22.18159844,11.58128708,0.3226790593,0,1.424903723,1.419141821,100,R,0,-,19.77307223,0,0,71,0,9.114249037,0,6.396396396,0,0,0,0,0,0,13.80842106,8.609899805,0,0,37,Normes subsidiàries del planejament,0,0,0,0.4766717638,11.98782766,0,0
25060,Cabanabona,Noguera,2018,5.368722611,10.95008244,-6.172839506,913.2351338,48.76976708,487.0258409,46.56332073,80.22240671,0.0870459122,0,0.9743589744,1.578616558,55.21877337,R,0,-,8.139179409,0,0,20,0,25.64102564,0,26.31578947,13949.43586,0,0,0,0,0,64.1159993,9.397659845,0,0,23,Normes subsidiàries del planejament,0,0,0,0.1628783936,28.46564868,0,0
25061,Cabó,Alt Urgell,2018,1.207515907,15.55719644,4.301075269,642.7893381,0,297.9709235,10.63137014,12.77404609,0.0272313991,0,0.8660714286,0.1196321078,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678523591,0,0,4,Normes de planejament urbanístic,0,0,0,0,0,0,0
25062,Camarasa,Noguera,2018,5.358528851,25.04621484,-2.433371958,399.2619269,1.268848718,179.743056,52.9803131,66.41569419,0.0729880673,11.82460874,1.125668449,1.105633257,76.5761591,R,100,R,16.82174327,0,60,214,8.021390374,28.60962567,7.125890736,25.41567696,0,0,0,0,0,15.09365716,44.19181273,10.27553582,4,2,21,Normes subsidiàries del planejament,0,0,0,0.3122251569,56.84910279,0.3992843315,72.70059924
25063,Canejan,Val d'Aran,2018,1.73839616,11.54377714,-4.545454545,866.2675895,0,262.781922,0,30.89299865,0,0,1.024390244,0.288101622,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.290352178,1,0,37,Normes subsidiàries del planejament,0,0,0,0,0,0,0
25064,Castellar de la Ribera,Solsonès,2018,2.276128973,0,-2.142857143,0,0,0,0,0,0,0,2.362068966,0.4070559214,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.675247828,1,0,6,Pla d'ordenació urbanística municipal,0,0,0,0.185800395,79.88078009,0,0
25067,Castelldans,Garrigues,2018,14.3264372,21.39316183,-1.272534464,467.4390854,0,242.4234589,46.42535229,5.739566572,0,0,1.743445693,1.79048512,100,R,0,-,43.38095957,0,0,639,0,119.6629213,0,68.6358754,0,0,0,0,0,0,33.84753137,10.32319312,2,0,36,Normes subsidiàries del planejament,0,0,0,0.4980480513,34.3218772,0,0
25068,Castellnou de Seana,Pla d'Urgell,2018,42.65045286,21.85773382,0.1457725948,457.50397,23.67069746,285.8552119,14.20514933,32.92012514,0.2015926492,0,1.968481375,6.603753527,67.45353705,AE,0,-,18.98384487,0,0,49,0,14.04011461,0,7.132459971,32096.97354,0,0,0,2,0,25.23228039,23.68760053,1,0,17,Normes subsidiàries del planejament,0,0,0,0.7221690167,16.95695339,3.382686191,79.42746193
25069,Castelló de Farfanya,Noguera,2018,10.2239044,37.92013954,-0.7380073801,263.7121098,9.428865696,169.2701535,3.773121647,20.39801084,0.2136117597,0,1.254079254,0.3878391221,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58581137,3,0,4,Normes de planejament urbanístic,0,0,0,0.2122384845,20.60584104,0,0
25070,Castellserà,Urgell,2018,63.1254343,24.76524123,-0.7936507937,403.7917461,23.22067304,243.1059297,6.296533326,28.37799757,0.2975650286,20.00398719,1.828153565,5.006867967,100,R,77.40674407,R,29.94517652,0,187,139,34.18647166,25.41133455,18.7,13.9,0,10949.74681,0,0,2,29.90809844,9.659421896,24.61752708,0,0,7,Pla d'ordenació urbanística municipal,0,0,0,0.4059434099,6.37970481,0,0
